Type,Judgement,Section,Offence,Punishment,Status,Type of punishment
Traffic cases,Accused,MVA,"The scorpio, JK1420030039541 vehicle fitted with tinted glass. Hence seized w/s 206 Motor vehicle Act & sent to Police station Udhampur for safe custody.",Fine 10000,Resolved,Fine
Traffic cases,Accused,MVA,"Driver plying vehicle,scooty, JK14F-984T without  documents also argue with public servent on duty and misbehave with other officials also.",Fine 3500,Resolved,Fine
Traffic cases,Accused,MVA,"Driving vehicle,Load carrier, JK01AD9256 without uniform ",Fine 500,Resolved,Fine
Traffic cases,Accused,MVA,"Sir violater plying the vehicle,tempo, JK02AQ0891 Srinagar to Jammu checked & found. Driving wrong lane in Chenani tunnel. 184 Motor vehicle Act",Fine 1500,Resolved,Fine
Traffic cases,Accused,MVA,Riding motorcycle JK14201500066454 without helment 129/194 D,Fine 900,Resolved,Fine
Traffic cases,Accused,MVA,"Driving vehicle, balero JK0220050908093 without uniform, without R/C, driving wrong parking ",Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,"Auto JK14C9747 Controvention of R/c, one passenger overloaded",Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Scooty JK14D/2847 Without documents 207 Motor Vehicle Act. Hence the above said vehicle has been seized by 207 motor vehicle act.,Fine 6000,Resolved,Fine
Traffic cases,Accused,MVA,"Disobeying signal of Police officer regulating traffic, without registration certificate, non commerical four-wheeler being used as a commerical vehicle, 179 and 66/192 and 39/192",Fine 2400,Resolved,Fine
Traffic cases,Accused,MVA,Without license 3/181 Motor vehicle act,Fine 5000,Resolved,Fine
Traffic cases,Accused,MVA,Without uniform,Fine 500,Resolved,Fine
Traffic cases,Accused,MVA,Overtaking 184 motor vehicle act,Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Without uniform,Fine 500,Resolved,Fine
Traffic cases,Accused,MVA,Without helmet  129/194 D,Fine 900,Resolved,Fine
Traffic cases,Accused,MVA,Without seat belt 194B motor vehicle act,Fine 700,Resolved,Fine
Traffic cases,Accused,MVA,Without seat belt 194B motor vehicle act,Fine 700,Resolved,Fine
Traffic cases,Accused,MVA,"Excess passenger 10, 39/192, without uniform ",Fine 2500,Resolved,Fine
Traffic cases,Accused,MVA,Without seat belt 194B motor vehicle act,Fine 700,Resolved,Fine
Traffic cases,Accused,MVA,Without D/L U/S 3/181,Fine 5000,Resolved,Fine
Traffic cases,Accused,MVA,Without seat belt 194B motor vehicle act,Fine 700,Resolved,Fine
Traffic cases,Accused,MVA,Without helmet U/S 129/194 D,Fine 900,Resolved,Fine
Traffic cases,Accused,MVA,Without helmet and used unparliamentary language,Fine 1500,Resolved,Fine
Traffic cases,Accused,MVA,Overloading U/S 179 without seat belt,Fine 3000,Resolved,Fine
Traffic cases,Accused,MVA,"Overloading U/S 113(3)/ 194(1), without uniform and extra weight",Fine 25000,Resolved,Fine
Traffic cases,Accused,MVA,Goods extented approx 2 feet above body overheight U/S 194(A),Fine 3500,Resolved,Fine
Traffic cases,Accused,MVA,Overspeeding/ dangerous driving,Fine 8000,Resolved,Fine
Traffic cases,Accused,MVA,Stunt driving by a two wheeler ,Fine 5000,Resolved,Fine
Traffic cases,Accused,MVA,Overspeeding LMV U/S 112/183,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Violator not disclosing identity U/S 179,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Disobeying signal of Police officer regulating traffic U/S 179,Fine 1500,Resolved,Fine
Traffic cases,Accused,MVA,Two pillion riders on a two wheller U/S 184 Motor Vehicle Act,Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Stunt driving by a two wheeler U/S 184,Fine 4000,Resolved,Fine
Traffic cases,Accused,MVA,Vehicle plying with black film U/S 190(2),Fine 10000,Resolved,Fine
Traffic cases,Accused,MVA,Driving without D/L U/S 3/181,Fine 5000,Resolved,Fine
Traffic cases,Accused,MVA,Without helmet U/S 129/194 D,Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Without seat belt 194B motor vehicle act,Fine 800,Resolved,Fine
Traffic cases,Accused,MVA,"Without license 3/181 Motor vehicle act, without helmet U/S 129/194 D",Fine 5800,Resolved,Fine
Traffic cases,Accused,MVA,"Overloading in Goods Vehicle, U/S 113(3), 194(1), Using vehicle in unsafe  condition U/S 190(1) ",Fine 10000,Resolved,Fine
Traffic cases,Accused,MVA,Without Route Permit U/S 66/192A,Court challan,Resolved,Fine
Traffic cases,Accused,MVA,Carriage of Excess Passenger U/S 194A without seat belt U/S 194B,Fine 1500,Resolved,Fine
Traffic cases,Accused,MVA,Using Mobile Phone while driving U/S 184 ,Fine 3000,Resolved,Fine
Traffic cases,Accused,MVA,Vehicle without Registration number plate U/S 177,Fine 500,Resolved,Fine
Traffic cases,Accused,MVA,Commerical vehicle plying without pollution U/S 190(2),Fine 10000,Resolved,Fine
Traffic cases,Accused,MVA,Owner of vehicle allow plying without valid insurance U/S 140/196,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Dangerous driving U/S 184,Fine 2500,Resolved,Fine
Traffic cases,Accused,MVA,Entry in no entry area U/S 179,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Driver failing to make prescribe signal on prescribe occasion U/S 121/177,Fine 500,Resolved,Fine
Traffic cases,Accused,MVA,"Drunken driving, without seat bealt U/S 184/190",Court challan,Resolved,Fine
Traffic cases,Accused,MVA,Using vehicle in unsafe condition U/S 190(1) ,Court challan,Resolved,Fine
Traffic cases,Accused,MVA,Overspeeding U/S 112/183 ,Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Without valid Insurance U/S 146/196,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Using Mobile Phone while driving U/S 184 ,Fine 5000,Resolved,Fine
Traffic cases,Accused,MVA,Commerical vehicle plying without pollution U/S 190(2),Fine 10000,Resolved,Fine
Traffic cases,Accused,MVA,Owner of vehicle allow plying without valid insurance U/S 140/196,Fine 2000,Resolved,Fine
Traffic cases,Accused,MVA,Non commerical vehicle U/S 190(2) plying without pollution,Fine 1000,Resolved,Fine
Traffic cases,Accused,MVA,Without insurance U/S 146/196,Fine 2000,Resolved,Fine
